id,cuisine
32770,thai
5,mexican
32774,southern_us
7,indian
11,thai
12,southern_us
13,southern_us
32783,southern_us
38232,italian
18,italian
32789,indian
23,italian
26,southern_us
32796,indian
32800,southern_us
35,mexican
36,italian
32806,cajun_creole
42,moroccan
32813,italian
47,indian
51,italian
52,chinese
57,mexican
32830,french
66,mexican
32836,thai
32838,italian
32839,japanese
32843,french
32852,mexican
85,french
32854,southern_us
32866,filipino
32869,southern_us
32871,thai
32873,chinese
5479,mexican
32786,indian
32883,italian
32884,italian
117,italian
32889,italian
122,mexican
123,mexican
32892,italian
32893,japanese
32894,mexican
130,thai
131,mexican
49174,french
142,mexican
144,chinese
32915,italian
32918,italian
32924,italian
32925,spanish
32928,japanese
164,italian
32933,mexican
166,mexican
32935,italian
28,southern_us
32939,southern_us
172,italian
173,chinese
32949,greek
182,italian
183,italian
188,italian
10954,chinese
191,indian
32960,italian
16417,southern_us
32968,italian
32970,french
210,southern_us
32982,southern_us
32985,mexican
219,mexican
32989,italian
32991,mexican
224,greek
32993,italian
226,southern_us
227,italian
229,italian
235,mexican
236,indian
240,italian
246,mexican
247,southern_us
249,chinese
33018,filipino
253,chinese
256,italian
257,italian
263,italian
33033,chinese
43736,southern_us
278,southern_us
286,indian
33061,chinese
33063,mexican
33064,mexican
299,southern_us
300,mexican
33072,italian
38280,indian
32819,italian
308,moroccan
33077,mexican
313,italian
316,southern_us
325,italian
326,thai
327,indian
2193,british
329,british
33106,mexican
339,southern_us
33108,indian
33109,filipino
344,mexican
350,italian
33120,french
33121,chinese
33129,italian
33137,thai
370,mexican
33139,southern_us
373,indian
33143,mexican
376,french
378,japanese
381,italian
384,japanese
33155,cajun_creole
388,chinese
391,italian
392,spanish
33163,chinese
33164,italian
33165,mexican
33170,cajun_creole
403,mexican
404,italian
13107,thai
411,southern_us
416,southern_us
418,indian
423,mexican
425,cajun_creole
71,italian
431,thai
434,italian
33206,mexican
439,filipino
440,italian
445,italian
33214,thai
33224,thai
460,thai
466,southern_us
480,chinese
482,indian
33251,italian
489,mexican
33258,french
33264,italian
33265,italian
498,italian
33267,cajun_creole
33269,italian
33274,italian
511,korean
33281,french
17,italian
33285,cajun_creole
33286,thai
33287,indian
520,chinese
525,french
526,jamaican
527,japanese
530,italian
33300,southern_us
5550,indian
33302,greek
33305,indian
538,mexican
33309,french
542,chinese
544,vietnamese
33316,italian
33326,southern_us
564,mexican
565,japanese
33336,thai
569,southern_us
573,mexican
33342,mexican
33346,southern_us
579,southern_us
582,italian
584,cajun_creole
585,southern_us
586,mexican
587,southern_us
33358,indian
33367,mexican
33369,mexican
33370,japanese
603,italian
606,korean
607,french
33377,thai
33378,italian
33379,french
33384,italian
33387,italian
622,spanish
33392,chinese
33399,indian
633,indian
634,indian
635,chinese
33406,thai
643,french
5569,cajun_creole
649,mexican
33418,mexican
656,mexican
665,southern_us
668,southern_us
33437,mexican
33438,chinese
33443,italian
676,southern_us
678,italian
33447,french
33448,indian
685,french
33455,southern_us
688,mexican
33457,mexican
33460,italian
694,french
33468,chinese
701,southern_us
705,french
708,southern_us
712,thai
33483,southern_us
716,mexican
719,french
721,southern_us
723,moroccan
725,southern_us
728,indian
21967,italian
732,thai
33503,chinese
737,southern_us
738,french
741,italian
743,chinese
744,italian
33522,thai
33523,chinese
761,french
762,chinese
33534,italian
767,chinese
768,chinese
770,italian
771,italian
774,french
33544,mexican
777,french
778,chinese
781,indian
784,southern_us
33553,italian
789,mexican
33560,chinese
795,french
797,thai
133,indian
805,indian
807,chinese
809,italian
811,southern_us
33580,italian
813,italian
33582,thai
817,italian
822,italian
823,italian
824,southern_us
825,thai
828,italian
33598,moroccan
43829,cajun_creole
832,chinese
5600,italian
33602,indian
33604,southern_us
838,thai
33614,british
853,cajun_creole
33623,italian
33624,mexican
33625,southern_us
33629,southern_us
5605,italian
33632,italian
867,southern_us
868,southern_us
16529,moroccan
872,southern_us
876,cajun_creole
877,indian
33646,italian
33651,jamaican
884,mexican
33661,italian
33665,greek
33667,mexican
33675,southern_us
908,indian
33677,mexican
33682,moroccan
33684,french
918,chinese
33687,italian
33691,japanese
33692,cajun_creole
926,japanese
33705,mexican
939,chinese
941,mexican
33712,southern_us
33713,italian
33714,italian
948,italian
949,italian
33718,moroccan
33719,southern_us
33720,thai
33722,indian
33725,french
33728,indian
33729,mexican
33733,chinese
974,italian
975,french
979,southern_us
987,southern_us
988,mexican
989,italian
33758,italian
33759,italian
33761,chinese
33763,mexican
32934,japanese
33767,mexican
1001,indian
33770,cajun_creole
33773,french
5489,chinese
1011,mexican
33780,southern_us
1013,mexican
1014,italian
169,indian
1017,vietnamese
33790,greek
33791,korean
33793,italian
1027,thai
33798,french
1032,cajun_creole
33802,italian
43863,mexican
1038,southern_us
38224,cajun_creole
33813,indian
1053,italian
33824,italian
33826,thai
33829,thai
1063,indian
1064,cajun_creole
33834,mexican
33840,russian
1073,southern_us
33842,mexican
1083,french
1084,spanish
33855,southern_us
33856,italian
1089,moroccan
33861,chinese
11106,chinese
33874,italian
1107,italian
1108,cajun_creole
1119,french
1120,italian
1125,mexican
5649,chinese
1130,italian
1132,italian
1135,southern_us
1139,mexican
33911,mexican
1147,italian
1150,southern_us
192,thai
33922,thai
1156,chinese
1158,southern_us
1162,thai
33934,italian
33937,filipino
33940,mexican
33941,mexican
33943,southern_us
1177,greek
33947,mexican
33950,italian
1184,chinese
33953,southern_us
33955,vietnamese
1189,italian
1192,southern_us
38428,southern_us
1195,italian
1200,southern_us
1201,italian
1203,french
33972,cajun_creole
1205,southern_us
1214,southern_us
33983,italian
33985,southern_us
1218,chinese
1221,indian
12043,mexican
1231,indian
1232,moroccan
34002,italian
34003,thai
11129,italian
34010,french
34020,southern_us
34021,jamaican
1255,mexican
1257,italian
1259,vietnamese
34030,spanish
34033,southern_us
16595,filipino
34036,chinese
1270,indian
1280,southern_us
34049,chinese
34055,italian
1289,mexican
1293,italian
34063,cajun_creole
34065,italian
34066,mexican
1300,moroccan
1301,italian
47145,french
34074,chinese
5499,italian
34077,japanese
34078,chinese
34081,vietnamese
1317,mexican
1322,italian
34092,southern_us
34095,southern_us
34097,southern_us
34102,thai
1336,italian
1337,southern_us
1338,indian
1339,indian
34109,chinese
34113,chinese
34120,thai
1353,chinese
1354,thai
32994,southern_us
32995,mexican
34136,mexican
1370,italian
34141,italian
34143,moroccan
1377,southern_us
1384,chinese
1385,french
1388,italian
34160,mexican
34162,indian
34164,french
1397,mexican
34166,cajun_creole
1400,cajun_creole
1405,greek
34175,southern_us
1409,italian
1411,mexican
1414,chinese
1417,italian
34186,southern_us
34189,mexican
1423,indian
34194,italian
34195,thai
34196,french
1429,filipino
34201,british
34210,french
1443,mexican
34212,spanish
34214,italian
34216,brazilian
1449,italian
1450,thai
1451,indian
34221,italian
1454,chinese
34229,chinese
34234,southern_us
1467,italian
34236,southern_us
1475,french
34244,indian
1482,chinese
34251,italian
34252,thai
1485,italian
1488,chinese
33017,spanish
34265,southern_us
1499,british
34269,southern_us
34271,mexican
1505,cajun_creole
1508,southern_us
34278,chinese
34280,italian
1513,korean
34282,thai
1519,mexican
1520,southern_us
34289,southern_us
34294,french
34297,cajun_creole
1530,italian
1532,southern_us
1534,indian
1535,mexican
1536,thai
34305,indian
1539,thai
1541,mexican
34310,southern_us
1544,indian
1550,mexican
34322,italian
34323,french
1556,thai
34326,italian
34328,chinese
43951,chinese
34333,indian
1569,chinese
1570,italian
1572,indian
1573,italian
34343,jamaican
1576,french
34346,italian
34348,italian
34349,italian
34351,italian
34353,italian
34354,southern_us
34355,italian
34356,italian
34359,mexican
34363,italian
1599,italian
49419,southern_us
1607,chinese
34376,italian
43959,italian
34390,southern_us
1623,italian
1627,italian
1628,mexican
1632,indian
1634,southern_us
1636,filipino
34405,italian
1638,italian
1645,chinese
43965,french
1653,mexican
1655,southern_us
1656,southern_us
1658,chinese
34427,italian
34428,southern_us
34431,french
1664,french
1668,indian
34438,italian
1676,french
1684,italian
34457,vietnamese
34459,spanish
1692,british
34461,thai
34470,moroccan
34476,filipino
34479,chinese
34481,italian
34484,cajun_creole
34487,indian
1721,cajun_creole
1725,mexican
34494,italian
34495,french
34497,french
34498,mexican
11211,chinese
1733,chinese
1735,thai
34505,chinese
1740,italian
1745,chinese
34515,japanese
1749,chinese
1751,southern_us
1754,cajun_creole
1757,chinese
1759,cajun_creole
34531,mexican
34532,italian
1766,mexican
34536,italian
1784,mexican
1785,thai
34558,chinese
5760,italian
1795,southern_us
1796,southern_us
34566,italian
34569,chinese
43991,southern_us
1808,french
34580,chinese
1815,italian
39341,southern_us
1820,italian
34596,southern_us
34597,thai
33073,indian
34601,southern_us
34602,southern_us
34603,chinese
34606,french
34607,southern_us
1843,filipino
34614,mexican
34616,italian
38538,southern_us
34629,southern_us
34630,indian
1866,southern_us
1868,italian
34637,italian
34638,chinese
34639,southern_us
34641,vietnamese
34645,southern_us
33081,italian
34663,southern_us
33084,southern_us
34666,thai
34667,southern_us
1900,mexican
5778,southern_us
1902,chinese
1909,italian
46982,british
38548,greek
1920,korean
34689,southern_us
34698,mexican
1932,italian
34704,french
1939,mexican
34708,thai
34711,thai
34712,chinese
34713,thai
34714,thai
1948,indian
1949,mexican
1952,southern_us
1953,cajun_creole
34723,mexican
34724,southern_us
1960,indian
1963,southern_us
34732,french
34733,vietnamese
34735,cajun_creole
34741,southern_us
1974,moroccan
1975,french
1977,indian
1978,french
1981,mexican
1985,french
34754,thai
1987,italian
1988,mexican
1989,southern_us
34760,french
34762,italian
34763,italian
1996,italian
1999,chinese
34772,southern_us
34773,korean
44803,greek
2013,french
2014,indian
34783,italian
2021,thai
34790,southern_us
34798,italian
2031,cajun_creole
45895,italian
34803,italian
2040,chinese
34809,italian
11263,thai
34812,indian
34815,italian
34818,indian
2052,southern_us
16726,mexican
38572,italian
34828,southern_us
2063,french
33112,southern_us
34835,french
34837,southern_us
34839,thai
2075,cajun_creole
2078,french
2083,italian
2084,italian
2086,southern_us
2090,spanish
2092,french
34863,italian
2099,indian
33118,chinese
34870,indian
34872,mexican
34873,chinese
2110,italian
34880,italian
34881,southern_us
2114,italian
2117,mexican
2118,chinese
2121,chinese
2131,cajun_creole
34900,southern_us
2133,mexican
34903,italian
2136,french
34909,southern_us
2144,mexican
2146,italian
34916,italian
2149,mexican
34919,indian
2159,southern_us
2163,southern_us
2164,french
34937,southern_us
34940,french
2174,italian
34944,southern_us
34949,southern_us
34951,french
2184,indian
2185,filipino
2187,italian
34959,french
2192,mexican
44056,cajun_creole
34967,mexican
34970,italian
34971,thai
34973,southern_us
34975,mexican
2208,french
34977,southern_us
34980,italian
34991,indian
2224,southern_us
2226,italian
2229,french
2231,mexican
2232,southern_us
35002,mexican
2236,italian
2237,mexican
35006,southern_us
35008,southern_us
2242,french
2243,indian
2244,italian
2245,southern_us
35014,indian
35021,italian
2254,brazilian
35031,italian
2268,southern_us
35038,mexican
35042,mexican
2280,southern_us
35049,greek
35051,southern_us
2284,chinese
33149,french
35057,southern_us
35060,mexican
35063,indian
35065,thai
35066,thai
35068,southern_us
35074,southern_us
2308,italian
49537,indian
2314,cajun_creole
2316,italian
2317,chinese
11309,french
35092,italian
44078,thai
2329,italian
35099,mexican
35100,thai
2334,japanese
2336,southern_us
35105,thai
2338,cajun_creole
35109,southern_us
35110,mexican
35126,indian
35128,southern_us
44084,chinese
2366,southern_us
35141,southern_us
2377,mexican
35146,southern_us
2379,mexican
2380,mexican
2381,mexican
35155,french
35156,italian
35160,mexican
2396,thai
35168,mexican
2404,southern_us
35173,southern_us
2406,italian
35181,southern_us
2419,chinese
2421,spanish
35190,italian
2427,italian
35196,mexican
2429,italian
2263,mexican
35200,cajun_creole
35203,french
35209,mexican
35214,chinese
2447,french
2448,southern_us
2450,mexican
2452,italian
35221,mexican
35223,southern_us
35224,indian
35225,mexican
2459,french
35229,mexican
2464,italian
35238,french
2471,indian
35240,cajun_creole
2473,mexican
2474,italian
35246,mexican
35249,chinese
2483,indian
2484,greek
2489,mexican
35258,italian
2492,chinese
2493,british
35262,italian
2510,italian
2511,korean
35281,mexican
35283,italian
49572,indian
35292,french
2526,italian
2532,southern_us
35306,southern_us
2539,italian
35313,mexican
2547,french
35320,mexican
35321,chinese
2554,southern_us
35326,indian
11350,italian
2567,chinese
35345,chinese
2579,indian
2580,mexican
35353,brazilian
2588,italian
35359,italian
35360,cajun_creole
2593,cajun_creole
35366,southern_us
35369,japanese
35370,moroccan
2608,southern_us
35383,southern_us
35385,indian
35387,southern_us
35391,italian
35394,japanese
35396,southern_us
2629,mexican
35400,italian
2633,italian
35402,italian
35410,southern_us
44131,indian
35412,italian
2648,korean
2649,italian
35421,mexican
2669,italian
35442,mexican
2675,mexican
2676,southern_us
35447,mexican
2680,southern_us
35451,southern_us
2684,greek
2685,mexican
2688,mexican
35461,thai
35468,southern_us
2701,southern_us
35474,southern_us
2711,italian
35482,italian
2716,french
5914,chinese
2718,mexican
35488,southern_us
2721,southern_us
2728,italian
35499,thai
35502,mexican
2740,southern_us
2746,mexican
35515,italian
35517,italian
2751,indian
35525,mexican
49612,italian
35530,chinese
2766,chinese
16845,chinese
2769,french
2771,italian
49614,mexican
2774,indian
35543,italian
2777,greek
35549,mexican
2784,italian
2786,indian
2787,italian
35556,mexican
2789,mexican
35558,indian
35560,chinese
35561,chinese
35563,italian
35565,italian
2803,mexican
35576,french
2812,southern_us
35581,cajun_creole
44160,italian
35589,indian
2823,vietnamese
49623,french
2828,cajun_creole
35597,italian
35598,cajun_creole
2833,filipino
35604,italian
35605,chinese
2838,indian
35610,french
2848,mexican
2853,southern_us
35625,indian
2860,mexican
35629,british
2864,indian
35636,indian
2869,italian
2870,southern_us
5940,southern_us
2875,japanese
35644,french
2878,southern_us
35648,thai
2881,italian
35650,cajun_creole
35662,chinese
35665,japanese
35667,indian
44174,mexican
35670,italian
35675,thai
2913,southern_us
35683,southern_us
35685,mexican
35686,mexican
35687,italian
2924,mexican
35695,french
35698,southern_us
35699,moroccan
2933,cajun_creole
2938,cajun_creole
2940,french
2942,indian
2943,italian
2944,indian
35713,southern_us
2954,filipino
35726,indian
35731,mexican
2964,mexican
2970,moroccan
35740,mexican
35742,french
35746,korean
2981,southern_us
35750,chinese
35753,italian
35754,indian
35755,spanish
2990,french
2991,cajun_creole
35760,italian
35762,french
2996,italian
2999,southern_us
3001,indian
35770,mexican
35772,italian
3006,chinese
3009,cajun_creole
3010,southern_us
3014,italian
3015,italian
3016,indian
16887,italian
3020,chinese
35790,southern_us
3024,french
3026,indian
3029,southern_us
35798,italian
3031,french
35806,mexican
35809,southern_us
3045,mexican
35820,southern_us
35825,italian
35829,french
35830,mexican
3063,mexican
3064,southern_us
3066,italian
3067,italian
3068,cajun_creole
11434,southern_us
3070,southern_us
35840,italian
35841,mexican
15378,mexican
35843,southern_us
35845,mexican
16897,southern_us
35848,mexican
35850,chinese
35851,moroccan
3090,vietnamese
3091,italian
3094,french
3096,italian
35867,italian
35869,thai
3103,japanese
3105,mexican
35874,cajun_creole
3111,mexican
