id,cuisine
32770,thai
5,mexican
32774,southern_us
7,indian
11,vietnamese
12,italian
13,southern_us
32783,southern_us
38232,greek
18,italian
32789,mexican
23,italian
26,cajun_creole
32796,indian
32800,spanish
35,mexican
36,italian
32806,french
42,moroccan
32813,italian
47,indian
51,greek
52,chinese
57,mexican
32830,french
66,mexican
32836,thai
32838,italian
32839,japanese
32843,french
32852,mexican
85,french
32854,southern_us
32866,jamaican
32869,russian
32871,thai
32873,chinese
5479,mexican
32786,indian
32883,french
32884,italian
117,southern_us
32889,italian
122,mexican
123,mexican
32892,italian
32893,vietnamese
32894,mexican
130,thai
131,mexican
49174,french
142,mexican
144,chinese
32915,italian
32918,italian
32924,french
32925,spanish
32928,japanese
164,moroccan
32933,mexican
166,mexican
32935,italian
28,southern_us
32939,southern_us
172,japanese
173,chinese
32949,greek
182,moroccan
183,italian
188,italian
10954,chinese
191,indian
32960,greek
16417,southern_us
32968,irish
32970,french
210,southern_us
32982,jamaican
32985,mexican
219,mexican
32989,italian
32991,mexican
224,greek
32993,italian
226,spanish
227,italian
229,italian
235,mexican
236,indian
240,italian
246,mexican
247,mexican
249,cajun_creole
33018,filipino
253,japanese
256,italian
257,italian
263,italian
33033,chinese
43736,southern_us
278,southern_us
286,indian
33061,chinese
33063,mexican
33064,mexican
299,italian
300,mexican
33072,southern_us
38280,indian
32819,italian
308,moroccan
33077,spanish
313,italian
316,southern_us
325,italian
326,vietnamese
327,indian
2193,british
329,italian
33106,mexican
339,southern_us
33108,indian
33109,filipino
344,mexican
350,italian
33120,mexican
33121,chinese
33129,italian
33137,thai
370,brazilian
33139,southern_us
373,indian
33143,mexican
376,greek
378,japanese
381,italian
384,japanese
33155,cajun_creole
388,chinese
391,italian
392,spanish
33163,chinese
33164,italian
33165,russian
33170,southern_us
403,mexican
404,italian
13107,vietnamese
411,southern_us
416,southern_us
418,indian
423,mexican
425,southern_us
71,french
431,vietnamese
434,italian
33206,mexican
439,filipino
440,italian
445,italian
33214,thai
33224,thai
460,thai
466,japanese
480,vietnamese
482,indian
33251,italian
489,mexican
33258,italian
33264,italian
33265,italian
498,italian
33267,cajun_creole
33269,italian
33274,italian
511,korean
33281,greek
17,italian
33285,french
33286,thai
33287,indian
520,chinese
525,russian
526,mexican
527,japanese
530,italian
33300,french
5550,indian
33302,greek
33305,indian
538,mexican
33309,french
542,chinese
544,vietnamese
33316,italian
33326,southern_us
564,mexican
565,japanese
33336,thai
569,southern_us
573,mexican
33342,mexican
33346,french
579,southern_us
582,italian
584,cajun_creole
585,southern_us
586,mexican
587,brazilian
33358,moroccan
33367,mexican
33369,mexican
33370,japanese
603,italian
606,korean
607,british
33377,thai
33378,italian
33379,french
33384,russian
33387,italian
622,french
33392,chinese
33399,indian
633,indian
634,indian
635,chinese
33406,vietnamese
643,french
5569,french
649,mexican
33418,mexican
656,mexican
665,jamaican
668,jamaican
33437,mexican
33438,chinese
33443,italian
676,southern_us
678,greek
33447,french
33448,indian
685,french
33455,southern_us
688,mexican
33457,mexican
33460,italian
694,southern_us
33468,chinese
701,southern_us
705,french
708,irish
712,thai
33483,southern_us
716,mexican
719,irish
721,southern_us
723,moroccan
725,southern_us
728,filipino
21967,italian
732,thai
33503,filipino
737,greek
738,indian
741,italian
743,korean
744,italian
33522,thai
33523,chinese
761,italian
762,chinese
33534,italian
767,korean
768,chinese
770,chinese
771,italian
774,french
33544,mexican
777,italian
778,chinese
781,indian
784,southern_us
33553,italian
789,mexican
33560,chinese
795,irish
797,thai
133,moroccan
805,indian
807,vietnamese
809,italian
811,japanese
33580,italian
813,italian
33582,korean
817,italian
822,italian
823,italian
824,southern_us
825,vietnamese
828,french
33598,moroccan
43829,cajun_creole
832,japanese
5600,italian
33602,indian
33604,southern_us
838,thai
33614,french
853,russian
33623,italian
33624,mexican
33625,southern_us
33629,italian
5605,italian
33632,italian
867,chinese
868,irish
16529,cajun_creole
872,southern_us
876,southern_us
877,indian
33646,italian
33651,jamaican
884,mexican
33661,italian
33665,greek
33667,southern_us
33675,southern_us
908,indian
33677,mexican
33682,moroccan
33684,russian
918,filipino
33687,italian
33691,japanese
33692,cajun_creole
926,chinese
33705,mexican
939,korean
941,mexican
33712,southern_us
33713,italian
33714,irish
948,italian
949,italian
33718,moroccan
33719,southern_us
33720,thai
33722,indian
33725,french
33728,southern_us
33729,mexican
33733,chinese
974,italian
975,french
979,southern_us
987,jamaican
988,mexican
989,italian
33758,italian
33759,italian
33761,chinese
33763,mexican
32934,japanese
33767,mexican
1001,indian
33770,cajun_creole
33773,french
5489,chinese
1011,mexican
33780,british
1013,mexican
1014,italian
169,indian
1017,vietnamese
33790,greek
33791,korean
33793,italian
1027,vietnamese
33798,french
1032,cajun_creole
33802,italian
43863,mexican
1038,southern_us
38224,cajun_creole
33813,indian
1053,italian
33824,italian
33826,thai
33829,thai
1063,indian
1064,cajun_creole
33834,mexican
33840,russian
1073,southern_us
33842,mexican
1083,french
1084,french
33855,southern_us
33856,filipino
1089,moroccan
33861,thai
11106,chinese
33874,italian
1107,italian
1108,southern_us
1119,italian
1120,spanish
1125,mexican
5649,cajun_creole
1130,greek
1132,italian
1135,southern_us
1139,mexican
33911,mexican
1147,italian
1150,irish
192,thai
33922,thai
1156,chinese
1158,cajun_creole
1162,vietnamese
33934,italian
33937,filipino
33940,mexican
33941,mexican
33943,southern_us
1177,chinese
33947,mexican
33950,italian
1184,chinese
33953,southern_us
33955,vietnamese
1189,italian
1192,southern_us
38428,italian
1195,southern_us
1200,southern_us
1201,indian
1203,french
33972,cajun_creole
1205,southern_us
1214,southern_us
33983,russian
33985,greek
1218,chinese
1221,indian
12043,mexican
1231,indian
1232,moroccan
34002,chinese
34003,thai
11129,italian
34010,russian
34020,southern_us
34021,jamaican
1255,mexican
1257,italian
1259,vietnamese
34030,brazilian
34033,southern_us
16595,filipino
34036,chinese
1270,indian
1280,southern_us
34049,chinese
34055,italian
1289,mexican
1293,french
34063,cajun_creole
34065,italian
34066,mexican
1300,moroccan
1301,italian
47145,french
34074,chinese
5499,italian
34077,japanese
34078,chinese
34081,vietnamese
1317,mexican
1322,italian
34092,southern_us
34095,french
34097,southern_us
34102,jamaican
1336,italian
1337,southern_us
1338,indian
1339,indian
34109,vietnamese
34113,filipino
34120,thai
1353,chinese
1354,thai
32994,southern_us
32995,mexican
34136,mexican
1370,italian
34141,italian
34143,moroccan
1377,southern_us
1384,chinese
1385,french
1388,french
34160,mexican
34162,indian
34164,russian
1397,mexican
34166,cajun_creole
1400,cajun_creole
1405,indian
34175,southern_us
1409,italian
1411,mexican
1414,thai
1417,italian
34186,jamaican
34189,mexican
1423,indian
34194,italian
34195,thai
34196,greek
1429,filipino
34201,british
34210,french
1443,mexican
34212,spanish
34214,italian
34216,brazilian
1449,greek
1450,thai
1451,indian
34221,italian
1454,chinese
34229,chinese
34234,southern_us
1467,italian
34236,southern_us
1475,french
34244,french
1482,korean
34251,french
34252,thai
1485,irish
1488,chinese
33017,spanish
34265,southern_us
1499,french
34269,italian
34271,mexican
1505,cajun_creole
1508,southern_us
34278,vietnamese
34280,italian
1513,japanese
34282,thai
1519,italian
1520,mexican
34289,southern_us
34294,french
34297,cajun_creole
1530,italian
1532,southern_us
1534,irish
1535,mexican
1536,thai
34305,indian
1539,thai
1541,mexican
34310,southern_us
1544,indian
1550,mexican
34322,italian
34323,filipino
1556,thai
34326,italian
34328,chinese
43951,chinese
34333,british
1569,vietnamese
1570,french
1572,indian
1573,italian
34343,jamaican
1576,french
34346,italian
34348,italian
34349,italian
34351,italian
34353,italian
34354,southern_us
34355,italian
34356,italian
34359,mexican
34363,italian
1599,italian
49419,southern_us
1607,chinese
34376,italian
43959,italian
34390,cajun_creole
1623,italian
1627,italian
1628,mexican
1632,indian
1634,southern_us
1636,filipino
34405,italian
1638,italian
1645,chinese
43965,italian
1653,mexican
1655,irish
1656,southern_us
1658,korean
34427,russian
34428,french
34431,french
1664,indian
1668,indian
34438,italian
1676,french
1684,italian
34457,vietnamese
34459,spanish
1692,british
34461,vietnamese
34470,moroccan
34476,filipino
34479,thai
34481,french
34484,cajun_creole
34487,indian
1721,cajun_creole
1725,mexican
34494,italian
34495,irish
34497,irish
34498,irish
11211,chinese
1733,chinese
1735,thai
34505,chinese
1740,italian
1745,filipino
34515,korean
1749,chinese
1751,southern_us
1754,cajun_creole
1757,chinese
1759,cajun_creole
34531,mexican
34532,italian
1766,mexican
34536,italian
1784,mexican
1785,thai
34558,chinese
5760,italian
1795,mexican
1796,southern_us
34566,french
34569,chinese
43991,southern_us
1808,italian
34580,chinese
1815,italian
39341,southern_us
1820,italian
34596,indian
34597,vietnamese
33073,indian
34601,italian
34602,french
34603,chinese
34606,mexican
34607,southern_us
1843,filipino
34614,mexican
34616,italian
38538,southern_us
34629,southern_us
34630,indian
1866,southern_us
1868,italian
34637,italian
34638,chinese
34639,greek
34641,chinese
34645,southern_us
33081,italian
34663,french
33084,russian
34666,thai
34667,southern_us
1900,mexican
5778,southern_us
1902,chinese
1909,italian
46982,british
38548,greek
1920,korean
34689,southern_us
34698,mexican
1932,spanish
34704,french
1939,mexican
34708,thai
34711,thai
34712,chinese
34713,thai
34714,thai
1948,indian
1949,mexican
1952,chinese
1953,french
34723,southern_us
34724,southern_us
1960,moroccan
1963,southern_us
34732,french
34733,vietnamese
34735,cajun_creole
34741,southern_us
1974,moroccan
1975,french
1977,british
1978,irish
1981,mexican
1985,french
34754,thai
1987,italian
1988,mexican
1989,vietnamese
34760,greek
34762,spanish
34763,italian
1996,greek
1999,chinese
34772,british
34773,korean
44803,greek
2013,greek
2014,indian
34783,italian
2021,thai
34790,french
34798,greek
2031,cajun_creole
45895,italian
34803,french
2040,chinese
34809,italian
11263,thai
34812,indian
34815,greek
34818,japanese
2052,cajun_creole
16726,mexican
38572,southern_us
34828,southern_us
2063,french
33112,italian
34835,southern_us
34837,southern_us
34839,thai
2075,cajun_creole
2078,french
2083,italian
2084,italian
2086,southern_us
2090,spanish
2092,french
34863,italian
2099,moroccan
33118,chinese
34870,indian
34872,mexican
34873,chinese
2110,italian
34880,italian
34881,irish
2114,greek
2117,french
2118,chinese
2121,chinese
2131,brazilian
34900,southern_us
2133,mexican
34903,italian
2136,british
34909,southern_us
2144,mexican
2146,italian
34916,italian
2149,spanish
34919,indian
2159,brazilian
2163,chinese
2164,french
34937,southern_us
34940,italian
2174,mexican
34944,southern_us
34949,french
34951,french
2184,indian
2185,filipino
2187,italian
34959,french
2192,mexican
44056,cajun_creole
34967,mexican
34970,italian
34971,thai
34973,jamaican
34975,mexican
2208,french
34977,southern_us
34980,italian
34991,indian
2224,southern_us
2226,italian
2229,greek
2231,mexican
2232,southern_us
35002,mexican
2236,italian
2237,mexican
35006,southern_us
35008,italian
2242,french
2243,indian
2244,irish
2245,mexican
35014,indian
35021,greek
2254,brazilian
35031,italian
2268,brazilian
35038,jamaican
35042,mexican
2280,southern_us
35049,greek
35051,southern_us
2284,chinese
33149,french
35057,spanish
35060,mexican
35063,southern_us
35065,thai
35066,thai
35068,southern_us
35074,french
2308,italian
49537,indian
2314,southern_us
2316,italian
2317,chinese
11309,french
35092,french
44078,thai
2329,italian
35099,mexican
35100,thai
2334,chinese
2336,cajun_creole
35105,thai
2338,cajun_creole
35109,southern_us
35110,mexican
35126,indian
35128,southern_us
44084,korean
2366,southern_us
35141,italian
2377,mexican
35146,french
2379,mexican
2380,mexican
2381,mexican
35155,french
35156,italian
35160,mexican
2396,vietnamese
35168,mexican
2404,french
35173,southern_us
2406,italian
35181,southern_us
2419,chinese
2421,french
35190,greek
2427,italian
35196,mexican
2429,italian
2263,french
35200,cajun_creole
35203,spanish
35209,mexican
35214,chinese
2447,southern_us
2448,french
2450,mexican
2452,french
35221,italian
35223,greek
35224,indian
35225,mexican
2459,italian
35229,mexican
2464,italian
35238,french
2471,indian
35240,cajun_creole
2473,mexican
2474,italian
35246,mexican
35249,vietnamese
2483,indian
2484,greek
2489,mexican
35258,italian
2492,chinese
2493,spanish
35262,italian
2510,italian
2511,korean
35281,mexican
35283,italian
49572,indian
35292,french
2526,italian
2532,italian
35306,southern_us
2539,italian
35313,mexican
2547,french
35320,mexican
35321,chinese
2554,southern_us
35326,indian
11350,italian
2567,chinese
35345,japanese
2579,indian
2580,mexican
35353,brazilian
2588,italian
35359,italian
35360,jamaican
2593,cajun_creole
35366,chinese
35369,japanese
35370,moroccan
2608,southern_us
35383,brazilian
35385,indian
35387,cajun_creole
35391,italian
35394,japanese
35396,italian
2629,mexican
35400,italian
2633,russian
35402,italian
35410,southern_us
44131,indian
35412,italian
2648,korean
2649,italian
35421,mexican
2669,italian
35442,mexican
2675,mexican
2676,southern_us
35447,irish
2680,irish
35451,southern_us
2684,greek
2685,mexican
2688,mexican
35461,thai
35468,french
2701,southern_us
35474,jamaican
2711,italian
35482,italian
2716,italian
5914,japanese
2718,mexican
35488,southern_us
2721,southern_us
2728,italian
35499,thai
35502,mexican
2740,southern_us
2746,mexican
35515,irish
35517,spanish
2751,indian
35525,mexican
49612,italian
35530,chinese
2766,thai
16845,chinese
2769,italian
2771,italian
49614,mexican
2774,indian
35543,italian
2777,greek
35549,mexican
2784,russian
2786,moroccan
2787,spanish
35556,mexican
2789,mexican
35558,indian
35560,vietnamese
35561,chinese
35563,italian
35565,italian
2803,mexican
35576,french
2812,irish
35581,cajun_creole
44160,italian
35589,indian
2823,vietnamese
49623,french
2828,spanish
35597,southern_us
35598,french
2833,filipino
35604,italian
35605,chinese
2838,moroccan
35610,french
2848,mexican
2853,southern_us
35625,indian
2860,mexican
35629,italian
2864,indian
35636,indian
2869,moroccan
2870,italian
5940,southern_us
2875,japanese
35644,french
2878,french
35648,thai
2881,spanish
35650,cajun_creole
35662,chinese
35665,japanese
35667,mexican
44174,mexican
35670,italian
35675,thai
2913,southern_us
35683,southern_us
35685,mexican
35686,mexican
35687,italian
2924,mexican
35695,french
35698,southern_us
35699,moroccan
2933,southern_us
2938,cajun_creole
2940,greek
2942,indian
2943,italian
2944,indian
35713,southern_us
2954,filipino
35726,indian
35731,mexican
2964,mexican
2970,moroccan
35740,mexican
35742,chinese
35746,korean
2981,italian
35750,japanese
35753,italian
35754,indian
35755,italian
2990,italian
2991,chinese
35760,italian
35762,french
2996,italian
2999,southern_us
3001,indian
35770,mexican
35772,italian
3006,chinese
3009,cajun_creole
3010,indian
3014,italian
3015,italian
3016,indian
16887,italian
3020,chinese
35790,southern_us
3024,french
3026,chinese
3029,southern_us
35798,italian
3031,mexican
35806,mexican
35809,southern_us
3045,mexican
35820,southern_us
35825,italian
35829,mexican
35830,mexican
3063,mexican
3064,southern_us
3066,italian
3067,italian
3068,cajun_creole
11434,southern_us
3070,irish
35840,italian
35841,mexican
15378,mexican
35843,jamaican
35845,mexican
16897,southern_us
35848,mexican
35850,chinese
35851,moroccan
3090,vietnamese
3091,italian
3094,french
3096,italian
35867,italian
35869,thai
3103,japanese
3105,mexican
35874,cajun_creole
3111,mexican
35883,mexican
35888,indian
3124,thai
35893,southern_us
